productNo	slug	title
107759392	pkg-mt-0144	[출발확정][후라노 소울트립] 북해도/도야/삿포로 4일(무제한대게/노미호다이/시내중심 2연박/노옵션)
108216224	pkg-mt-0142	연태 2박 3일
104507141	pkg-mt-0141	오사카 럭셔리 크루즈 <4인출발> 4박 5일
106288742	pkg-mt-0139	호화호특 시라무런 초원 · 쿠부치사막 <시내준5성/게르숙박> 4박 6일
100007799	pkg-mt-0138	시드니/멜버른/그레이트오션로드/헌터밸리 5박 7일
99959906	pkg-mt-0136	호주/뉴질랜드 남북섬 8박 10일
100006779	pkg-mt-0135	시드니 일주 포트스테판 · 시드니 · 블루마운틴 4박 6일
103340034	pkg-mt-0134	괌 리가로얄라구나 오션뷰룸 <아일랜드관광/음료쿠폰/미니바1회/레이트체크아웃> 3박 5일
103952114	pkg-mt-0132	쿠알라룸푸르/말라카/싱가포르 3박 5일
101440019	pkg-mt-0131	쿠알라룸푸르/말라카 3박 5일
107569693	pkg-mt-0130	[브루나이][노쇼핑+노팁+시내관광+나이트투어] 일급호텔 3박5일
102107753	pkg-mt-0129	코타키나발루 수트라하버 마젤란 씨뷰 3박 5일
102105017	pkg-mt-0128	코타키나발루 밍가든 3박 5일
107951742	pkg-mt-0127	코타키나발루 그란디스 슈페리어룸 3박 5일
107855004	pkg-mt-0126	라오스 비엔티엔/루앙프라방/방비엥 3박 5일
104690399	pkg-mt-0125	라오스 비엔티엔/루앙프라방/방비엥 3박 5일
104690240	pkg-mt-0124	비엔티엔/루앙프라방/방비엥 3박 5일
104689912	pkg-mt-0123	라오스 비엔티엔/방비엥 3박 5일
104689531	pkg-mt-0122	라오스 비엔티엔/방비엥 3박 5일
106525361	pkg-mt-0121	레 라다크 일주 <인도안에 티벳 / 노쇼핑> 7박 9일
105776028	pkg-mt-0119	준특급 네팔 문화탐방 <준특급,노쇼핑,노옵션> 4박 6일
105787494	pkg-mt-0118	히말라야 네팔 트레킹 - 안나푸르나 베이스캠프 ABC 7박 9일
104291758	pkg-mt-0117	행복의 나라 부탄 항공 일주 <노쇼핑/부탄비자포함/국내선이동2회> 7박 9일
105792861	pkg-mt-0116	네팔 미니트레킹 · 문화탐방 <준특급 7박 9일
103758443	pkg-mt-0115	준특급 북인도 완전일주 <노쇼핑/국내선1회/열차1회/특식3회/타지마할/19금사원> 7박 9일
104125481	pkg-mt-0114	준특급 스리랑카 완전일주 <노쇼핑/노옵션> 6박 8일
104301818	pkg-mt-0113	준특급 서인도 라자스탄 일주 조드푸르 · 자이푸르 외 5도시 7박 9일
104291270	pkg-mt-0112	지상 낙원 힐링 남인도 핵심일주 스라바나벨라 골라 · 마드라스 외 7도시 7박 9일
104953267	pkg-mt-0111	준특급 북인도 골든트라이앵글 <노쇼핑/3대특식> 4박 6일
105832079	pkg-mt-0110	[발리][$180상당특전/남부+우붓/씨푸드/마사지] 준특급 패키지 3박5일
105832081	pkg-mt-0109	[발리][$180상당특전/남부+우붓/씨푸드/마사지] 준특급 패키지 3박5일
101454021	pkg-mt-0107	<양명산 티엔라이 온천>대만/베이터우/예류/스펀/지우펀 3박 5일
105312744	pkg-mt-0106	대만/타이중/일월담/구족문화촌/심계신촌 3박 4일
105951907	pkg-mt-0105	< 자유/시내4성호텔>대만/예류/스펀/지우펀 3박 5일
106635692	pkg-mt-0104	푸켓 인기4성급 호텔 3박 5일
106270635	pkg-mt-0103	푸켓 4성 베스트웨스턴 3박 5일
106690577	pkg-mt-0101	방콕 4성 · 파타야 5성 3박 5일
99815071	pkg-mt-0100	방콕파타야 3박 5일
99796071	pkg-mt-0099	치앙마이 3박 5일
99818900	pkg-mt-0098	파타야/방콕 3박 5일
106895639	pkg-mt-0097	치앙마이 품격호텔 3박 5일
101431652	pkg-mt-0096	푸켓 인기 4성급 호텔 3박 5일
107610545	pkg-mt-0094	리장 호도협 대리 곤명 <리무진버스투어/5성급> 4박 6일
107359689	pkg-mt-0093	중경/무산/신녀계풍경구 2박 4일
106257377	pkg-mt-0092	중경/귀양 3박 5일
104201103	pkg-mt-0091	샤먼 고랑서 남정토루 일월곡온천 시그니처 핵심 <시내중심 정5성호텔_복주 IN-OUT> 3박 4일
104189433	pkg-mt-0090	오감이 쉬어가는 힐링도시 푸저우 핵심 <노팁/노쇼핑/정5성호텔> 2박 3일
104191921	pkg-mt-0089	샤먼 고랑서 남정토루 푸저우 <고랑서전동카> 3박 4일
